GPT-NeoX,NaN,0.45,0.51,0.73,0.61,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN
OPT-66B,NaN,0.49,0.52,0.79,0.57,NaN,0.30,NaN,NaN,NaN,NaN,NaN,NaN
BLOOM,NaN,0.50,0.53,0.77,0.56,NaN,0.36,NaN,NaN,NaN,NaN,NaN,NaN
ChatGPT,0.78,0.78,NaN,0.77,0.77,0.58,0.60,0.53,NaN,NaN,0.50,0.55,NaN
GPT-4,0.76,0.78,NaN,0.86,0.83,0.63,0.76,0.54,0.03,0.52,0.02,0.57,0.01
BloombergGPT,NaN,0.51,0.75,0.82,0.61,NaN,0.43,NaN,0.04,NaN,0.00,NaN,NaN
FinMA-7B,0.86,0.86,0.84,0.98,0.75,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN
FinMA-30B,0.87,0.88,0.87,0.97,0.62,0.06,0.40,0.48,0.04,0.50,0.00,0.56,NaN
FinMA-7B-full,0.87,0.87,0.79,0.97,0.69,0.11,0.20,0.47,0.01,0.49,0.10,-0.03
