llama-7b,0.02,0.08,0.95,0.31,0.02,0.76,0.05,0,0,0,1,0.02,0,0.96,0.08,0,0.84,0.01,0.02,0.99,0,0,0,0,1,0,0,1
bloomz-7b,0.36,0.52,0.03,0.79,0.0,0.61,0.0,0.01,0.54,0.01,0.02,0.48,-0.02,0.06,0.51,-0.03,0.10,0.18,0.31,0.49,0,0,0,0,1,0.57,0.72,0
ChatGPT,0.78,0.78,0.0,,,0.77,0.77,0.58,0.53,-0.025,0,0.5,0.005,0,0.55,0.01,0,,,,,,,,,,,
GPT-4,0.76,0.78,0.0,,,0.86,0.83,0.63,0.54,0.03,0,0.52,0.02,0,0.57,0.01,0,0.69,0.71,0,,,0.56,0.57,0,0.75,0.75,0
FinMA-7B,0.86,0.86,0.0,0.84,0.0,0.98,0.75,0.06,0.48,0.04,0.0,0.5,0.0,0,0.56,-0.02,0.0,0.45,0.58,0.24,0,0,0,0,1,0,0,1
FinMA-7B-full,0.88,0.88,0.0,0.83,0,0.97,0.67,0.06,0.51,0.06,0.0,0.52,0.03,0.0,0.52,0.04,0.0,0.47,0.61,0.24,0,0,0,0,1,0,0,1
Baichuan-7B,0.01,0.02,0.99,0.55,0.03,0.76,0.16,0,0.34,0,0.38,0.32,0,0.38,0.15,0,0.73,0.01,0.06,0.98,0,0,0,0,1,0,0,1
llama-2-7b-chat,0.05,0.12,0.89,0.61,0.09,0.57,0.12,0,0.42,0.05,0.26,0.41,0,0.19,0.31,0.01,0.48,0.17,0.27,0.39,0.03,0.0,0,0,1,0,0,1,0.42,0.41
chatglm2-6b,0,0,1,0,1,0.76,0,0,0,0,1,0,0,1,0,-0.02,0.99,0,0,1,0,0,0,0,1,0,0,1,0.88,0.88
