Baichuan-7B,0.2134,0.2956,0.1041,0.1538,0,0,0.3288,0.3192,0.2025,0.2190,0.0328,0.0493,0.1560,0.2165,0.0403,0.0388,0.4416,0.3502,0.0581,0.0983,0.0131,0.0196,0.0062,0.0108,0,0,0.0006,0.0011,0.0012,0.0276,0.0073,0.0268,0.5274,-6.8445,0,0.5851,0.4648,0.6855,0.5576,0.3721,0.2018,0.3906,0.4006,0.2031,0.1291,0,0.0042,0.5
Baichuan2-7B-Base,0.007,0.0137,0.0012,0.0024,0,0,0.0135,0.0243,0.0011,0.0023,0,0,0,0,0,0,0.002,0.0039,0,0,0.0028,0.0031,0.0015,0.0021,0,0,0.0007,0.0011,0,0.006,0.0002,0.006,0.4816,-7.2737,0,0.5910,0.4391,0.6855,0.5576,0.3721,0.2018,0,0,0,0,0,0,0.5
bloomz-7b1,0.0021,0.0041,0.0038,0.0075,0.1828,0.1311,0.3018,0.2946,0.1708,0.2452,0,0,0.022,0.0414,0.0161,0.0123,0.5866,0.4928,0.1962,0.1769,0.0796,0.0811,0.0519,0.0684,0,0,0.0004,0.0005,0.0984,0.0784,0.0276,0.0774,0.6755,-5.7036,0,0.5499,0.4899,0.6667,0.5684,0.3837,0.2264,0.6481,0.652,0.0052,0.0101,0,0.0675,0.5029
ChatGLM2-6B,0.0063,0.0124,0.0011,0.0022,0,0,0.1847,0.1903,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0.0117,0.0175,0.009,0.0152,0,0,0.0024,0.004,0,0.0012,0,0.0012,0.4961,-7.293,0,0.589,0.445,0.6855,0.5576,0.3721,0.2018,0,0,0,0,0,0,0.5
ChatGLM3-6b,0.4657,0.4697,0.4278,0.4438,0.2688,0.2201,0.4234,0.4182,0.4276,0.4533,0.0294,0.0492,0.494,0.5584,0.0792,0.0763,0.5723,0.5266,0.3894,0.4428,0.0005,0.0009,-,-,0,0,0.0007,0.0013,0.0992,0.2556,0.0878,0.2525,0.7477,-4.0972,0,0.4853,0.4853,0.4403,0.4528,0.6047,0.5985,0.618,0.617,0.4237,0.3482,0,0.0211,0.6951
InternLM-7B,0.2081,0.2923,0.3185,0.2775,0.0014,0.0027,0.3198,0.2472,0.4299,0.3745,0.026,0.0387,0.508,0.3509,0.0228,0.0147,0.5525,0.46,0.2971,0.2791,0.0027,0.0045,0.0017,0.0031,0,0,0.0008,0.0014,0.0012,0.1451,0.0473,0.1436,0.6513,-4.1527,0,0.5656,0.4851,0.6855,0.5576,0.3721,0.2018,0.6738,0.668,0.2732,0.2085,0,0,0.504
LlaMA-2-7B,0.1819,0.2664,0.3469,0.2917,0,0,0.2658,0.1706,0.259,0.2796,0.0498,0.0661,0.506,0.3528,0.0208,0.0113,0.4228,0.276,0.0474,0.0782,0.0012,0.0021,0.0014,0.0026,0,0,0.0004,0.0008,0.0004,0.1042,0.0324,0.1022,0.6493,-4.5394,0,0.5773,0.499,0.6855,0.5576,0.3721,0.2018,0.3476,0.3495,0.0979,0.0921,0,0.0084,0.5
Qwen-7B,0.6821,0.5604,0.4971,0.3337,0.1185,0.1544,0.2432,0.0955,0.2726,0.3484,0.0611,0.0744,0.65,0.636,0.0564,0.0262,0.3658,0.4392,0.4307,0.4819,0.0013,0.0023,0.0013,0.0022,0,0,0.0003,0.0006,0,0.1419,0.0489,0.1393,0.6032,-4.301,0,0.5558,0.5194,0.673,0.5622,0.3837,0.2264,0.7811,0.7731,0.2392,0.3404,0,0,0.5
